"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ETHICS & BEHAVIOR","1050-8422","1532-7019","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Multidisciplinary | Ethics"
"ETHICS & GLOBAL POLITICS","1654-4951","1654-6369","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Political Science | Ethics"
"ETHICS & INTERNATIONAL AFFAIRS","0892-6794","1747-7093","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Political Science | Ethics | International Relations"
"ETHIOPIAN JOURNAL OF HEALTH DEVELOPMENT","1021-6790","1021-6790","ADDIS ABABA UNIV, DEPT COMMUNITY HEALTH","TIKUR ANBESSA HOSP, PO BOX 32812, ADDIS ABABA, ETHIOPIA, 00000","English","Public, Environmental & Occupational Health"
"ETHNIC AND RACIAL STUDIES","0141-9870","1466-4356","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Sociology | Ethnic Studies"
"ETHNICITIES","1468-7968","1741-2706","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Ethnic Studies"
"ETHNICITY & HEALTH","1355-7858","1465-3419","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Ethnic Studies"
"ETHNOGRAPHY","1466-1381","1741-2714","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Anthropology | Sociology"
"ETHNOHISTORY","0014-1801","1527-5477","DUKE UNIV PRESS","905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701","English","History | Anthropology"
"ETHNOS","0014-1844","1469-588X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Anthropology"
"ETHOS","0091-2131","1548-1352","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Multidisciplinary | Anthropology"
"ETIKK I PRAKSIS","1890-3991","1890-4009","AKADEMIKA AS, AKADEMIKA FORLAG","PO BOX 2461 SLUPPEN, TRONDHEIM, NORWAY, N-7005","Bokmål, Norwegian, Danish, English, Swedish, Norwegian Bokmål","Ethics"
"ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT","1042-1629","1556-6501","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Education & Educational Research"
"EURASIAN BUSINESS REVIEW","1309-4297","2147-4281","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Business | Economics | Management"
"EURASIAN GEOGRAPHY AND ECONOMICS","1538-7216","1938-2863","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Geography | Area Studies"
"EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES","0250-7161","0717-6236","PONTIFICIA UNIV CATOLICA CHILE, INST ESTUDIOS URBANOS TERRITORIALES","EL COMENDADOR 1916, SANTIAGO, CHILE, 00000","Spanish, Portuguese","Urban Studies"
"EUROPEAN ACCOUNTING REVIEW","0963-8180","1468-4497","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business, Finance"
"EUROPEAN ADDICTION RESEARCH","1022-6877","1421-9891","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009","English","Substance Abuse | Psychiatry"
"EUROPEAN BUSINESS ORGANIZATION LAW REVIEW","1566-7529","1741-6205","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Business | Law"
"EUROPEAN CHILD & ADOLESCENT PSYCHIATRY","1018-8827","1435-165X","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Psychiatry | Psychology, Development"
"EUROPEAN CONSTITUTIONAL LAW REVIEW","1574-0196","1744-5515","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Law"
"EUROPEAN EARLY CHILDHOOD EDUCATION RESEARCH JOURNAL","1350-293X","1752-1807","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Education & Educational Research"
"EUROPEAN EATING DISORDERS REVIEW","1072-4133","1099-0968","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Clinical"
"EUROPEAN ECONOMIC REVIEW","0014-2921","1873-572X","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Economics"
"EUROPEAN EDUCATIONAL RESEARCH JOURNAL","1474-9041","1474-9041","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Education & Educational Research"
"EUROPEAN FINANCIAL MANAGEMENT","1354-7798","1468-036X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Business, Finance"
"EUROPEAN HISTORY QUARTERLY","0265-6914","1461-7110","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","History | Political Science"
"EUROPEAN JOURNAL OF AGEING","1613-9372","1613-9380","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Gerontology"
"EUROPEAN JOURNAL OF CANCER CARE","0961-5423","1365-2354","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Nursing | Rehabilitation"
"EUROPEAN JOURNAL OF CARDIOVASCULAR NURSING","1474-5151","1873-1953","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Nursing"
"EUROPEAN JOURNAL OF COMMUNICATION","0267-3231","1460-3705","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Communication"
"EUROPEAN JOURNAL OF CRIMINOLOGY","1477-3708","1741-2609","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Criminology & Penology"
"EUROPEAN JOURNAL OF CULTURAL STUDIES","1367-5494","1460-3551","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Cultural Studies"
"EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY","1740-5629","1740-5610","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Development"
"EUROPEAN JOURNAL OF DEVELOPMENT RESEARCH","0957-8811","1743-9728","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Development Studies"
"EUROPEAN JOURNAL OF EDUCATION","0141-8211","1465-3435","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Education & Educational Research"
"EUROPEAN JOURNAL OF ENGLISH STUDIES","1382-5577","1744-4233","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Cultural Studies | Linguistics"
"EUROPEAN JOURNAL OF FINANCE","1351-847X","1466-4364","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business, Finance"
"EUROPEAN JOURNAL OF FUTURES RESEARCH","2195-4194","2195-2248","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","German, English","Social Sciences, Interdisciplinary"
"EUROPEAN JOURNAL OF HEALTH ECONOMICS","1618-7598","1618-7601","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Health Policy & Services | Economics"
"EUROPEAN JOURNAL OF HEALTH PSYCHOLOGY","2512-8442","2512-8450","HOGREFE PUBLISHING CORP","361 NEWBURY ST, 5 FL, BOSTON, United States, MA, 02115","English","Psychology, Clinical"
"EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS","0959-6801","1461-7129","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Industrial Relations & Labor"
"EUROPEAN JOURNAL OF INFORMATION SYSTEMS","0960-085X","1476-9344","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Information Science & Library Science | Management"
"EUROPEAN JOURNAL OF INNOVATION MANAGEMENT","1460-1060","1758-7115","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Business | Management"
"EUROPEAN JOURNAL OF INTERNATIONAL LAW","0938-5428","1464-3596","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","International Relations | Law"
"EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT","1751-6757","1751-6765","INDERSCIENCE ENTERPRISES LTD","WORLD TRADE CENTER BLDG, 29 ROUTE DE PRE-BOIS, CASE POSTALE 856, GENEVA, SWITZERLAND, CH-1215","English","Management"
"EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS","1354-0661","1460-3713","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","International Relations"
"EUROPEAN JOURNAL OF LAW AND ECONOMICS","0929-1261","1572-9990","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Economics | Law"
"EUROPEAN JOURNAL OF MARKETING","0309-0566","1758-7123","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","Multi-Language","Business"
"EUROPEAN JOURNAL OF MIGRATION AND LAW","1388-364X","1571-8166","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","English","Law | Demography"
"EUROPEAN JOURNAL OF ONCOLOGY NURSING","1462-3889","1532-2122","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Nursing"
"EUROPEAN JOURNAL OF PERSONALITY","0890-2070","1099-0984","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Psychology, Social"
"EUROPEAN JOURNAL OF POLITICAL ECONOMY","0176-2680","1873-5703","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Political Science | Economics"
"EUROPEAN JOURNAL OF POLITICAL RESEARCH","0304-4130","1475-6765","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Political Science"
"EUROPEAN JOURNAL OF POPULATION-REVUE EUROPEENNE DE DEMOGRAPHIE","0168-6577","1572-9885","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","Multi-Language","Demography"
"EUROPEAN JOURNAL OF PSYCHIATRY","0213-6163","0213-6163","ELSEVIER ESPANA SLU","AV JOSEP TARRADELLAS, 20-30, 1ERA PLANTA, BARCELONA, SPAIN, CP-08029","English","Psychiatry"
"EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT","1015-5759","2151-2426","HOGREFE PUBLISHING CORP","361 NEWBURY ST, 5 FL, BOSTON, United States, MA, 02115","English","Psychology, Applied"
"EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT","1889-1861","1989-4007","COLEGIO OFICIAL PSICOLOGOS MADRID","C/CUESTA SAN VICENTE, NO 4, 6 PLANTA, MADRID, SPAIN, 28008","English","Psychology, Multidisciplinary | Law"
"EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION","0256-2928","1878-5174","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Psychology, Educational"
"EUROPEAN JOURNAL OF PSYCHOLOGY OPEN","2673-8627","2673-8627","HOGREFE AG-HOGREFE AG SUISSE","LANGGASSSTRASSE 76, BERN , Switzerland, 3012","","Psychology, Multidisciplinary"
"EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY","2000-8198","2000-8066","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Psychology, Clinical | Psychiatry"
"EUROPEAN JOURNAL OF PUBLIC HEALTH","1101-1262","1464-360X","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Public, Environmental & Occupational Health"
"EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY","0046-2772","1099-0992","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Social"
"EUROPEAN JOURNAL OF SOCIAL THEORY","1368-4310","1461-7137","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Sociology"
"EUROPEAN JOURNAL OF SOCIAL WORK","1369-1457","1468-2664","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Social Work"
"EUROPEAN JOURNAL OF SPECIAL NEEDS EDUCATION","0885-6257","1469-591X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Education, Special"
"EUROPEAN JOURNAL OF TEACHER EDUCATION","0261-9768","1469-5928","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Education & Educational Research"
"EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT","0967-2567","1469-5936","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","History Of Social Sciences | Economics"
"EUROPEAN JOURNAL OF TRANSPORT AND INFRASTRUCTURE RESEARCH","1567-7133","1567-7141","EDITORIAL BOARD EJTIR","SECTION TRANSPORT POLICY-TLO, JAFFALAAN 5, JAFFALAAN 5, NETHERLANDS, 2628 BX","English","Transportation"
"EUROPEAN JOURNAL OF WOMENS STUDIES","1350-5068","1461-7420","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Women'S Studies"
"EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY","1359-432X","1464-0643","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Management | Psychology, Applied"
"EUROPEAN JOURNAL ON CRIMINAL POLICY AND RESEARCH","0928-1371","1572-9869","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Criminology & Penology"
"EUROPEAN LAW JOURNAL","1351-5993","1468-0386","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Law"
"EUROPEAN LAW REVIEW","0307-5400","0307-5400","SWEET MAXWELL LTD","NORTH WAY, ANDOVER, ENGLAND, HANTS, SP10 5BE","English","Law"
"EUROPEAN MANAGEMENT JOURNAL","0263-2373","1873-5681","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Business | Management"
"EUROPEAN MANAGEMENT REVIEW","1740-4754","1740-4762","WILEY PERIODICALS, INC","ONE MONTGOMERY ST, SUITE 1200, SAN FRANCISCO, USA, CA, 94104","English","Management"
"EUROPEAN PHYSICAL EDUCATION REVIEW","1356-336X","1741-2749","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Education & Educational Research"
"EUROPEAN PLANNING STUDIES","0965-4313","1469-5944","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Environmental Studies | Urban Studies | Geography | Regional & Urban Planning"
"EUROPEAN POLITICAL SCIENCE","1680-4333","1682-0983","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Political Science"
"EUROPEAN POLITICAL SCIENCE REVIEW","1755-7739","1755-7747","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Political Science"
"EUROPEAN PSYCHIATRY","0924-9338","1778-3585","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Psychiatry"
"EUROPEAN PSYCHOLOGIST","1016-9040","1878-531X","HOGREFE PUBLISHING CORP","361 NEWBURY ST, 5 FL, BOSTON, United States, MA, 02115","English","Psychology, Multidisciplinary"
"EUROPEAN RESEARCH ON MANAGEMENT AND BUSINESS ECONOMICS","2444-8834","2444-8842","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English, Spanish","Business | Economics | Management"
"EUROPEAN REVIEW","1062-7987","1474-0575","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Area Studies"
"EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS","0165-1587","1464-3618","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Economics"
"EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE","1162-9088","1162-9088","ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","65 RUE CAMILLE DESMOULINS, CS50083, ISSY-LES-MOULINEAUX, FRANCE, 92442","Multi-Language","Psychology, Applied"
"EUROPEAN REVIEW OF ECONOMIC HISTORY","1361-4916","1474-0044","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","History Of Social Sciences | Economics"
"EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY","1046-3283","1479-277X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Social"
"EUROPEAN SECURITY","0966-2839","1746-1545","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Political Science | International Relations | Area Studies"
"EUROPEAN SOCIETIES","1461-6696","1469-8307","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Sociology"
"EUROPEAN SOCIOLOGICAL REVIEW","0266-7215","1468-2672","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Sociology"
"EUROPEAN SPORT MANAGEMENT QUARTERLY","1618-4742","1746-031X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Hospitality, Leisure, Sport & Tourism"
"EUROPEAN TRANSPORT RESEARCH REVIEW","1867-0717","1866-8887","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Transportation"
"EUROPEAN UNION POLITICS","1465-1165","1741-2757","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Political Science"
"EUROPEAN URBAN AND REGIONAL STUDIES","0969-7764","1461-7145","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Regional & Urban Planning | Environmental Studies | Urban Studies"
"EUROPE-ASIA STUDIES","0966-8136","1465-3427","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Political Science | Economics | Area Studies"
"EVALUATION","1356-3890","1461-7153","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Social Sciences, Interdisciplinary"
"EVALUATION AND PROGRAM PLANNING","0149-7189","1873-7870","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Social Sciences, Interdisciplinary"
"EVALUATION REVIEW","0193-841X","1552-3926","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Social Sciences, Interdisciplinary"
"EVALUATION & THE HEALTH PROFESSIONS","0163-2787","1552-3918","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Health Policy & Services"
"EVIDENCE & POLICY","1744-2648","1744-2656","POLICY PRESS","UNIV BRISTOL, 1-9 OLD PARK HILL, BRISTOL, ENGLAND, BS2 8BB","English","Social Sciences, Interdisciplinary"
"EVOLUTION AND HUMAN BEHAVIOR","1090-5138","1879-0607","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Psychology, Biological | Social Sciences, Biomedical"
"EVOLUTIONARY ANTHROPOLOGY","1060-1538","1520-6505","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anthropology"
"EVOLUTIONARY PSYCHOLOGY","1474-7049","1474-7049","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Psychology, Experimental"
"EVOLUTION PSYCHIATRIQUE","0014-3855","1769-6674","ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","65 RUE CAMILLE DESMOULINS, CS50083, ISSY-LES-MOULINEAUX, FRANCE, 92442","French","Psychiatry"
"EXCEPTIONAL CHILDREN","0014-4029","2163-5560","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Rehabilitation | Education, Special"
"EXCEPTIONALITY","0936-2835","1532-7035","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Education, Special"
"EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY","1064-1297","1936-2293","AMER PSYCHOLOGICAL ASSOC","750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242","English","Psychology, Clinical | Psychology, Biological"
"EXPERIMENTAL ECONOMICS","1386-4157","1573-6938","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Economics"
"EXPERIMENTAL PSYCHOLOGY","1618-3169","2190-5142","HOGREFE PUBLISHING CORP","361 NEWBURY ST, 5 FL, BOSTON, United States, MA, 02115","English","Psychology, Experimental"
"EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH","1473-7167","1744-8379","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Health Policy & Services"
"EXPLORATIONS IN ECONOMIC HISTORY","0014-4983","1090-2457","ACADEMIC PRESS INC ELSEVIER SCIENCE","525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495","English","History Of Social Sciences | Economics"
"EXTRACTIVE INDUSTRIES AND SOCIETY-AN INTERNATIONAL JOURNAL","2214-790X","2214-7918","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Environmental Studies"
"FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES","1044-3894","1945-1350","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Family Studies | Social Work"
"FAMILIES RELATIONSHIPS AND SOCIETIES","2046-7435","2046-7443","POLICY PRESS","UNIV BRISTOL, 1-9 OLD PARK HILL, BRISTOL, ENGLAND, BS2 8BB","English","Family Studies"
"FAMILIES SYSTEMS & HEALTH","1091-7527","1939-0602","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242","English","Public, Environmental & Occupational Health | Family Studies"
"FAMILY BUSINESS REVIEW","0894-4865","1741-6248","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Business"
"FAMILY & COMMUNITY HEALTH","0160-6379","1550-5057","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Family Studies | Public, Environmental & Occupational Health"
"FAMILY LAW QUARTERLY","0014-729X","2162-7991","AMER BAR ASSOC, ADMINISTRATIVE LAW & REGULATORY PRACTICE SECTION","321 N CLARK ST, CHICAGO, USA, IL, 60610","English","Family Studies | Law"
"FAMILY PROCESS","0014-7370","1545-5300","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Clinical | Family Studies"
"FAMILY RELATIONS","0197-6664","1741-3729","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Family Studies | Social Work"
"FEDERAL RESERVE BANK OF ST LOUIS REVIEW","0014-9187","2163-4505","FEDERAL RESERVE BANK ST LOUIS","BOX 442, ST LOUIS, USA, MO, 63166","English","Economics | Business, Finance"
"FEMINISM & PSYCHOLOGY","0959-3535","1461-7161","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Psychology, Multidisciplinary | Women'S Studies"
"FEMINIST CRIMINOLOGY","1557-0851","1557-086X","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Criminology & Penology"
